"After this deadline, the bank details will expire and your order will be canceled. By transferring the exact amount, your purchase will be automatically confirmed.","Después de este plazo los datos bancarios expirarán y tu pedido será cancelado. Al transferir el monto exacto, tu compra será automáticamente confirmada."
"An error occurred while processing your payment. Please try again.","Ocurrió un error al procesar tu pago. Por favor, intentá nuevamente."
"An internal error occurred. Please try again later or contact with support.","Ocurrió un error interno. Intente nuevamente más tarde o póngase en contacto con soporte"
"An unexpected error occurred. Please try again or contact support.","Ocurrió un error inesperado. Por favor, intentá nuevamente o contactá con soporte."
"Are you sure you want to send the payment instructions email to customer?","¿Está seguro de enviar las instrucciones de pago al cliente?"
"Bank: Pollux Capital","Banco: Pollux Capital"
"Beneficiary: %1","Beneficiario: %1"
"Caution","Cuidado"
"Client ID","ID de Cliente"
"Client Secret","Clave secreta de cliente"
"Copied","Copiado"
"Copy","Copiar"
"Currency Code","Código de la moneda"
"CUIT: %1","CUIT: %1"
"Customer is redirected to %1","El cliente fue redireccionado a %1"
"Details for payment","Detalles para el pago"
"Exact amount for transfer","Monto exacto para transferencia"
"Exclusive alias for this purchase","Alias exclusivo para esta compra"
"Expiration Payment","Vencimiento del pago"
"Generate new QR","Generar nuevo QR"
"Go to home","Ir al inicio"
"If this is active, a new email will be sent with the payment instructions after place order","Si se activa, se enviará un nuevo email con las instrucciones de pago luego de que se genere el pedido"
"Instructions","Instrucciones"
"Invalid payment data.","Datos de pago inválidos."
"Make the payment before %1 to complete your purchase","Realizá el pago antes del %1 para concluir la compra"
"New Order Status","Estado del pedido nuevo"
"No order id specified.","No se especificó un ID de pedido."
"Notification ID %1","ID de notificación %1"
"Payment confirmed! Your order is being processed.","¡Pago confirmado! Tu pedido está siendo procesado."
"Your payment was successful. Thank you for your purchase!","¡Tu pago fue procesado con éxito. Gracias por tu compra!"
"Payment has been accepted","El pago fue aceptado"
"Payment has been rejected","El pago fue rechazado"
"Retry payment","Reintentar Pago"
"Test Credentials","Probar credenciales"
"The CVU or alias is <strong>exclusive for this purchase order.</strong> Do not try to use them again for another order.","El CVU o alias es <strong>exclusivo para esta orden de compra.</strong> No intentes volver a usarlos para otro pedido."
"The order has been overpaid","El pedido fue sobre pagado"
"The Order has been paid","El pedido fue pagado"
"The order status will be updated once the payment is received","El estado de la orden se actualizará una vez recibido el pago"
"The QR code has expired. Click below to generate a new one.","El código QR expiró. Hacé clic abajo para generar uno nuevo."
"There was an error processing your payment.","Hubo un error procesando su pago."
"Try again","Intentar nuevamente"
"User ID","ID de Usuario"
"Waiting for payment...","Esperando pago..."
"You cancelled the payment. You can try again or return to the store.","Cancelaste el pago. Podés intentar nuevamente o volver a la tienda."
"Your payment is being processed. Please wait...","Tu pago está siendo procesado. Por favor, esperá..."
"Your payment was rejected. Please check your balance or card limit and try again.","Tu pago fue rechazado. Verificá tu saldo o límite e intentá nuevamente."
"Partial payment received. Remaining balance: %1","Pago parcial recibido. Monto restante: %1"
"The invoice #%1 was been generated with transaction id %2","Se generó la factura #%1 con el id de transacción %2"
"Payment approved via webhook. Status updated to: %1. Payment ID: %2. Transaction ID: %3.","Pago aprobado via webhook. Estado actualizado a: %1. Payment ID: %2. Transaction ID: %3."
"Payment rejected via webhook. Status updated to: %1. Payment ID: %2.","Pago rechazado via webhook. Estado actualizado a: %1. Payment ID: %2."
"Payment rejected: %1 (%2)","Pago rechazado: %1 (%2)"
"Insufficient funds","Fondos insuficientes"
"Card declined","Tarjeta rechazada"
"Expired card","Tarjeta vencida"
"Invalid card","Tarjeta inválida"
"Suspected fraud","Sospecha de fraude"
"Limit exceeded","Límite excedido"
"Cancelled by user","Cancelado por usuario"
"Timeout","Tiempo expirado"
"Provider error","Error del proveedor"
"Generate Invoice on Payment","Generar factura al recibir el pago"
